Lineup ID,Player Name,Player Team,Player Position
26160b3d-a9d6-468d-952e-d3a2f1566e4a,Luke Musgrave,GB,TE
26160b3d-a9d6-468d-952e-d3a2f1566e4a,Brandin Cooks,DAL,WR
26160b3d-a9d6-468d-952e-d3a2f1566e4a,Deuce Vaughn,DAL,RB
fad11e73-c167-4db0-ab18-ecf6a98d339b,Josh Allen,BUF,QB
fad11e73-c167-4db0-ab18-ecf6a98d339b,Curtis Samuel,BUF,WR
fad11e73-c167-4db0-ab18-ecf6a98d339b,Ray Davis,BUF,RB
fad11e73-c167-4db0-ab18-ecf6a98d339b,Dawson Knox,BUF,TE
fad11e73-c167-4db0-ab18-ecf6a98d339b,Terry McLaurin,WAS,WR
fad11e73-c167-4db0-ab18-ecf6a98d339b,Jayden Daniels,WAS,QB
fad11e73-c167-4db0-ab18-ecf6a98d339b,Jahan Dotson,WAS,WR
fad11e73-c167-4db0-ab18-ecf6a98d339b,Luke McCaffrey,WAS,WR
fad11e73-c167-4db0-ab18-ecf6a98d339b,Breece Hall,NYJ,RB
fad11e73-c167-4db0-ab18-ecf6a98d339b,Malachi Corley,NYJ,WR
fad11e73-c167-4db0-ab18-ecf6a98d339b,George Pickens,PIT,WR
fad11e73-c167-4db0-ab18-ecf6a98d339b,Jaylen Warren,PIT,RB
68d00616-d981-4cdd-adf3-46c0d198bd26,Christian McCaffrey,SF,RB
68d00616-d981-4cdd-adf3-46c0d198bd26,Deebo Samuel Sr.,SF,WR
68d00616-d981-4cdd-adf3-46c0d198bd26,George Kittle,SF,TE
68d00616-d981-4cdd-adf3-46c0d198bd26,Malik Nabers,NYG,WR
68d00616-d981-4cdd-adf3-46c0d198bd26,Eric Gray,NYG,RB
68d00616-d981-4cdd-adf3-46c0d198bd26,Tee Higgins,CIN,WR
68d00616-d981-4cdd-adf3-46c0d198bd26,Joe Burrow,CIN,QB
68d00616-d981-4cdd-adf3-46c0d198bd26,Christian Kirk,JAX,WR
68d00616-d981-4cdd-adf3-46c0d198bd26,Brian Thomas Jr.,JAX,WR
68d00616-d981-4cdd-adf3-46c0d198bd26,Mike Williams,NYJ,WR
68d00616-d981-4cdd-adf3-46c0d198bd26,Aaron Rodgers,NYJ,QB
68d00616-d981-4cdd-adf3-46c0d198bd26,Xavier Legette,CAR,WR
68d00616-d981-4cdd-adf3-46c0d198bd26,Bryce Young,CAR,QB
5800f56c-8272-4fb5-8697-8db05217b39a,Kenneth Walker III,SEA,RB
5800f56c-8272-4fb5-8697-8db05217b39a,Jaxon Smith-Njigba,SEA,WR
5800f56c-8272-4fb5-8697-8db05217b39a,Noah Fant,SEA,TE
5800f56c-8272-4fb5-8697-8db05217b39a,Sam Howell,SEA,QB
5800f56c-8272-4fb5-8697-8db05217b39a,Brandon Aiyuk,SF,WR
5800f56c-8272-4fb5-8697-8db05217b39a,Brock Purdy,SF,QB
5800f56c-8272-4fb5-8697-8db05217b39a,Ricky Pearsall,SF,WR
5800f56c-8272-4fb5-8697-8db05217b39a,Zay Flowers,BAL,WR
5800f56c-8272-4fb5-8697-8db05217b39a,Mark Andrews,BAL,TE
5800f56c-8272-4fb5-8697-8db05217b39a,Malik Nabers,NYG,WR
5800f56c-8272-4fb5-8697-8db05217b39a,Devin Singletary,NYG,RB
5800f56c-8272-4fb5-8697-8db05217b39a,Deshaun Watson,CLE,QB
5800f56c-8272-4fb5-8697-8db05217b39a,Elijah Moore,CLE,WR
feae4651-0298-4de8-a474-089951e41357,Josh Allen,BUF,QB
feae4651-0298-4de8-a474-089951e41357,Chase Claypool,BUF,WR
feae4651-0298-4de8-a474-089951e41357,Dawson Knox,BUF,TE
feae4651-0298-4de8-a474-089951e41357,Drake Maye,NE,QB
feae4651-0298-4de8-a474-089951e41357,K.J. Osborn,NE,WR
feae4651-0298-4de8-a474-089951e41357,Austin Hooper,NE,TE
feae4651-0298-4de8-a474-089951e41357,Deebo Samuel Sr.,SF,WR
feae4651-0298-4de8-a474-089951e41357,Ricky Pearsall,SF,WR
feae4651-0298-4de8-a474-089951e41357,Marquise Brown,KC,WR
feae4651-0298-4de8-a474-089951e41357,Rashee Rice,KC,WR
b7b70b91-3183-46ab-a469-d38c47ed91be,Jaylen Waddle,MIA,WR
b7b70b91-3183-46ab-a469-d38c47ed91be,Tua Tagovailoa,MIA,QB
b7b70b91-3183-46ab-a469-d38c47ed91be,Jonnu Smith,MIA,TE
b7b70b91-3183-46ab-a469-d38c47ed91be,Trey McBride,ARI,TE
b7b70b91-3183-46ab-a469-d38c47ed91be,Kyler Murray,ARI,QB
b7b70b91-3183-46ab-a469-d38c47ed91be,Greg Dortch,ARI,WR
b7b70b91-3183-46ab-a469-d38c47ed91be,Jayden Daniels,WAS,QB
b7b70b91-3183-46ab-a469-d38c47ed91be,Ben Sinnott,WAS,TE
b7b70b91-3183-46ab-a469-d38c47ed91be,Luke McCaffrey,WAS,WR
b7b70b91-3183-46ab-a469-d38c47ed91be,Ja'Marr Chase,CIN,WR
b7b70b91-3183-46ab-a469-d38c47ed91be,Zack Moss,CIN,RB
b7b70b91-3183-46ab-a469-d38c47ed91be,DeVonta Smith,PHI,WR
